country,iso3,year,indicator,value,data_source,retrieval_date
Malaysia,MYS,2015,ICT_service_exports_pct,7.60329674929031,WorldBank_talent_API_real,2026-04-26
United States,USA,2023,ICT_service_exports_pct,7.50979594765926,WorldBank_talent_API_real,2026-04-26
United States,USA,2022,ICT_service_exports_pct,7.41605824254572,WorldBank_talent_API_real,2026-04-26
United States,USA,2021,ICT_service_exports_pct,7.80759603820996,WorldBank_talent_API_real,2026-04-26
United States,USA,2020,ICT_service_exports_pct,8.15583930543226,WorldBank_talent_API_real,2026-04-26
United States,USA,2019,ICT_service_exports_pct,6.72149072800021,WorldBank_talent_API_real,2026-04-26
United States,USA,2018,ICT_service_exports_pct,5.7758266986912,WorldBank_talent_API_real,2026-04-26
United States,USA,2017,ICT_service_exports_pct,5.69057151693249,WorldBank_talent_API_real,2026-04-26
United States,USA,2016,ICT_service_exports_pct,5.50438456530896,WorldBank_talent_API_real,2026-04-26
United States,USA,2015,ICT_service_exports_pct,5.3843044542327,WorldBank_talent_API_real,2026-04-26
China,CHN,2021,patent_applications_residents,1426644.0,WorldBank_talent_API_real,2026-04-26
China,CHN,2020,patent_applications_residents,1344817.0,WorldBank_talent_API_real,2026-04-26
China,CHN,2019,patent_applications_residents,1243568.0,WorldBank_talent_API_real,2026-04-26
China,CHN,2018,patent_applications_residents,1393815.0,WorldBank_talent_API_real,2026-04-26
China,CHN,2017,patent_applications_residents,1245709.0,WorldBank_talent_API_real,2026-04-26
China,CHN,2016,patent_applications_residents,1204981.0,WorldBank_talent_API_real,2026-04-26
China,CHN,2015,patent_applications_residents,968252.0,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2021,patent_applications_residents,39822.0,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2020,patent_applications_residents,42260.0,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2019,patent_applications_residents,46632.0,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2018,patent_applications_residents,46617.0,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2017,patent_applications_residents,47785.0,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2016,patent_applications_residents,48480.0,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2015,patent_applications_residents,47384.0,WorldBank_talent_API_real,2026-04-26
India,IND,2021,patent_applications_residents,26267.0,WorldBank_talent_API_real,2026-04-26
India,IND,2020,patent_applications_residents,23141.0,WorldBank_talent_API_real,2026-04-26
India,IND,2019,patent_applications_residents,19454.0,WorldBank_talent_API_real,2026-04-26
