country_iso3,country,year,corporate_tax_rate_pct,data_source,retrieval_date
SGP,Singapore,1984,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,1985,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,1986,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,1987,33.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,1988,33.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,1989,33.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,1990,32.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,1991,31.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,1992,31.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,1993,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,1994,27.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,1995,27.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,1996,26.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,1997,26.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,1998,26.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,1999,26.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,2000,26.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,2001,25.5,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,2002,24.5,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,2003,22.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,2004,22.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,2005,20.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,2006,20.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,2007,20.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,2008,18.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,2009,18.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,2010,17.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,2011,17.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,2012,17.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,2013,17.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,2014,17.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,2015,17.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,2016,17.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,2017,17.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,2018,17.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,2019,17.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,2020,17.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,2021,17.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,2022,17.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,2023,17.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,1980,35.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,1981,35.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,1982,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,1983,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
