iso_2,iso_3,continent,country,year,rate,gdp,oecd,eu27,gseven,gtwenty,brics,data_source,retrieval_date,notes
DE,DEU,EU,Germany,1991,56.25,2457.57006835938,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1992,58.15217391,2504.9541015625,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1993,56.52173913,2480.421875,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1994,52.17391304,2539.90380859375,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1995,55.10869565,2578.88623046875,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1996,55.87606838,2600.0576171875,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1997,56.79916318,2646.43310546875,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1998,56.0460251,2699.86572265625,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1999,52.03319502,2750.9462890625,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2000,52.03,2830.59130859375,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2001,38.9,2878.64697265625,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2002,38.9,2872.93408203125,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2003,40.215768,2852.43481445312,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2004,38.900415,2886.37646484375,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2005,38.900415,2907.2119140625,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2006,38.900415,3018.11010742188,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2007,38.900415,3108.17260742188,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2008,30.175,3138.08154296875,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2009,30.175,2959.30029296875,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2010,30.175,3082.96850585938,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2011,30.175,3203.94848632812,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2012,30.175,3217.390625,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2013,30.175,3231.16870117188,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2014,30.175,3303.08471679688,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2015,30.175,3360.55004882812,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2016,30.175,3435.490234375,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2017,30.175,3520.17602539062,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2018,29.825,3573.94506835938,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2019,29.897059,3594.10815429688,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2020,29.897059,3417.16770257545,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2021,29.937781,3515.21697416834,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2022,29.83,3580.89333526428,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2023,29.941,3659.62675843618,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1970,,1396.39135742188,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1971,,1440.13610839844,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1972,,1502.06689453125,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1973,,1573.82788085938,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1974,,1587.83605957031,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1975,,1574.07373046875,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1976,,1651.97863769531,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1977,,1707.27404785156,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1978,,1758.63732910156,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1979,,1831.626953125,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2024,,3732.91716540944,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2025,,3787.49804130526,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2026,,3840.52301298052,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2027,,3890.44981031796,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2028,,3941.02565599699,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2029,,3988.31796574818,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2030,,4036.17778323893,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2031,,4084.6119185624,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,2032,,4133.62726353285,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
IN,IND,AS,India,1980,60.0,270.942687988281,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
IN,IND,AS,India,1981,59.1,287.216033935547,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
IN,IND,AS,India,1982,56.4,297.198913574219,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
IN,IND,AS,India,1983,56.4,318.861419677734,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
IN,IND,AS,India,1984,55.0,331.044281005859,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
