country_iso3,country,year,indicator_code,indicator,value,data_source,retrieval_date
MYS,Malaysia,2024,FR.INR.RINR,real_interest_rate_pct,4.45730372233753,WorldBank_API_real_supplementary,2026-04-29
MYS,Malaysia,2023,FR.INR.RINR,real_interest_rate_pct,7.30135969525267,WorldBank_API_real_supplementary,2026-04-29
MYS,Malaysia,2022,FR.INR.RINR,real_interest_rate_pct,-2.2468071304743,WorldBank_API_real_supplementary,2026-04-29
MYS,Malaysia,2021,FR.INR.RINR,real_interest_rate_pct,-2.11195861208843,WorldBank_API_real_supplementary,2026-04-29
MYS,Malaysia,2020,FR.INR.RINR,real_interest_rate_pct,4.80149199718223,WorldBank_API_real_supplementary,2026-04-29
MYS,Malaysia,2019,FR.INR.RINR,real_interest_rate_pct,4.80161718618398,WorldBank_API_real_supplementary,2026-04-29
MYS,Malaysia,2018,FR.INR.RINR,real_interest_rate_pct,4.27704807389124,WorldBank_API_real_supplementary,2026-04-29
MYS,Malaysia,2017,FR.INR.RINR,real_interest_rate_pct,0.798926040327277,WorldBank_API_real_supplementary,2026-04-29
MYS,Malaysia,2016,FR.INR.RINR,real_interest_rate_pct,2.82594518260627,WorldBank_API_real_supplementary,2026-04-29
MYS,Malaysia,2015,FR.INR.RINR,real_interest_rate_pct,3.30703770408129,WorldBank_API_real_supplementary,2026-04-29
MYS,Malaysia,2014,FR.INR.RINR,real_interest_rate_pct,2.06851821643173,WorldBank_API_real_supplementary,2026-04-29
SGP,Singapore,2021,FR.INR.RINR,real_interest_rate_pct,-5.11973682102115,WorldBank_API_real_supplementary,2026-04-29
SGP,Singapore,2020,FR.INR.RINR,real_interest_rate_pct,7.83027325670722,WorldBank_API_real_supplementary,2026-04-29
SGP,Singapore,2019,FR.INR.RINR,real_interest_rate_pct,5.69911419011287,WorldBank_API_real_supplementary,2026-04-29
SGP,Singapore,2018,FR.INR.RINR,real_interest_rate_pct,1.66275740936794,WorldBank_API_real_supplementary,2026-04-29
SGP,Singapore,2017,FR.INR.RINR,real_interest_rate_pct,2.34944261174831,WorldBank_API_real_supplementary,2026-04-29
SGP,Singapore,2016,FR.INR.RINR,real_interest_rate_pct,4.80290826919814,WorldBank_API_real_supplementary,2026-04-29
SGP,Singapore,2015,FR.INR.RINR,real_interest_rate_pct,2.21015017142368,WorldBank_API_real_supplementary,2026-04-29
SGP,Singapore,2014,FR.INR.RINR,real_interest_rate_pct,5.63232355514565,WorldBank_API_real_supplementary,2026-04-29
THA,Thailand,2024,FR.INR.RINR,real_interest_rate_pct,3.54888514574285,WorldBank_API_real_supplementary,2026-04-29
THA,Thailand,2023,FR.INR.RINR,real_interest_rate_pct,2.97300810942538,WorldBank_API_real_supplementary,2026-04-29
THA,Thailand,2022,FR.INR.RINR,real_interest_rate_pct,-1.45349274915803,WorldBank_API_real_supplementary,2026-04-29
THA,Thailand,2021,FR.INR.RINR,real_interest_rate_pct,1.2628955644913,WorldBank_API_real_supplementary,2026-04-29
THA,Thailand,2020,FR.INR.RINR,real_interest_rate_pct,4.65169004750105,WorldBank_API_real_supplementary,2026-04-29
THA,Thailand,2019,FR.INR.RINR,real_interest_rate_pct,3.03891578719485,WorldBank_API_real_supplementary,2026-04-29
THA,Thailand,2018,FR.INR.RINR,real_interest_rate_pct,2.67979728915769,WorldBank_API_real_supplementary,2026-04-29
THA,Thailand,2017,FR.INR.RINR,real_interest_rate_pct,2.46971462408852,WorldBank_API_real_supplementary,2026-04-29
THA,Thailand,2016,FR.INR.RINR,real_interest_rate_pct,1.78511916997275,WorldBank_API_real_supplementary,2026-04-29
THA,Thailand,2015,FR.INR.RINR,real_interest_rate_pct,3.98101397309843,WorldBank_API_real_supplementary,2026-04-29
THA,Thailand,2014,FR.INR.RINR,real_interest_rate_pct,3.45784317114814,WorldBank_API_real_supplementary,2026-04-29
USA,United States,2021,FR.INR.RINR,real_interest_rate_pct,-1.08716753956254,WorldBank_API_real_supplementary,2026-04-29
USA,United States,2020,FR.INR.RINR,real_interest_rate_pct,2.84614797883625,WorldBank_API_real_supplementary,2026-04-29
USA,United States,2019,FR.INR.RINR,real_interest_rate_pct,3.71968036171318,WorldBank_API_real_supplementary,2026-04-29
USA,United States,2018,FR.INR.RINR,real_interest_rate_pct,2.46243186978415,WorldBank_API_real_supplementary,2026-04-29
USA,United States,2017,FR.INR.RINR,real_interest_rate_pct,2.37161907294657,WorldBank_API_real_supplementary,2026-04-29
