country,country_iso3,year,indicator,value,data_source,retrieval_date
India,IND,2021,electricity_from_renewables_pct,9.20447543029223,WorldBank_electricity_API_real,2026-04-26
India,IND,2020,electricity_from_renewables_pct,9.28554258342319,WorldBank_electricity_API_real,2026-04-26
India,IND,2019,electricity_from_renewables_pct,6.35327384440851,WorldBank_electricity_API_real,2026-04-26
India,IND,2018,electricity_from_renewables_pct,5.60539679737644,WorldBank_electricity_API_real,2026-04-26
India,IND,2017,electricity_from_renewables_pct,4.77156485415497,WorldBank_electricity_API_real,2026-04-26
India,IND,2016,electricity_from_renewables_pct,3.9832387575032,WorldBank_electricity_API_real,2026-04-26
India,IND,2015,electricity_from_renewables_pct,4.84184605005476,WorldBank_electricity_API_real,2026-04-26
Japan,JPN,2021,electricity_from_renewables_pct,12.6418714359476,WorldBank_electricity_API_real,2026-04-26
Japan,JPN,2020,electricity_from_renewables_pct,11.6827700825577,WorldBank_electricity_API_real,2026-04-26
Japan,JPN,2019,electricity_from_renewables_pct,10.1388571940274,WorldBank_electricity_API_real,2026-04-26
Japan,JPN,2018,electricity_from_renewables_pct,8.7805746797831,WorldBank_electricity_API_real,2026-04-26
Japan,JPN,2017,electricity_from_renewables_pct,7.76675220406082,WorldBank_electricity_API_real,2026-04-26
Japan,JPN,2016,electricity_from_renewables_pct,6.69775835351678,WorldBank_electricity_API_real,2026-04-26
Japan,JPN,2015,electricity_from_renewables_pct,5.55725588882088,WorldBank_electricity_API_real,2026-04-26
"Korea, Rep.",KOR,2021,electricity_from_renewables_pct,5.51298275297892,WorldBank_electricity_API_real,2026-04-26
"Korea, Rep.",KOR,2020,electricity_from_renewables_pct,5.02715264887679,WorldBank_electricity_API_real,2026-04-26
"Korea, Rep.",KOR,2019,electricity_from_renewables_pct,4.20412213714381,WorldBank_electricity_API_real,2026-04-26
"Korea, Rep.",KOR,2018,electricity_from_renewables_pct,3.31399440372008,WorldBank_electricity_API_real,2026-04-26
"Korea, Rep.",KOR,2017,electricity_from_renewables_pct,2.75473216478576,WorldBank_electricity_API_real,2026-04-26
"Korea, Rep.",KOR,2016,electricity_from_renewables_pct,2.33748898796017,WorldBank_electricity_API_real,2026-04-26
"Korea, Rep.",KOR,2015,electricity_from_renewables_pct,1.54467671967099,WorldBank_electricity_API_real,2026-04-26
Malaysia,MYS,2021,electricity_from_renewables_pct,-0.280070227294193,WorldBank_electricity_API_real,2026-04-26
Malaysia,MYS,2020,electricity_from_renewables_pct,1.89665330592275,WorldBank_electricity_API_real,2026-04-26
Malaysia,MYS,2019,electricity_from_renewables_pct,1.51020671327574,WorldBank_electricity_API_real,2026-04-26
Malaysia,MYS,2018,electricity_from_renewables_pct,1.27171650237206,WorldBank_electricity_API_real,2026-04-26
Malaysia,MYS,2017,electricity_from_renewables_pct,0.888957782438224,WorldBank_electricity_API_real,2026-04-26
Malaysia,MYS,2016,electricity_from_renewables_pct,0.892476206889948,WorldBank_electricity_API_real,2026-04-26
Malaysia,MYS,2015,electricity_from_renewables_pct,1.86509332160985,WorldBank_electricity_API_real,2026-04-26
United States,USA,2021,electricity_from_renewables_pct,14.0077934914494,WorldBank_electricity_API_real,2026-04-26
United States,USA,2020,electricity_from_renewables_pct,12.6817482828225,WorldBank_electricity_API_real,2026-04-26
United States,USA,2019,electricity_from_renewables_pct,10.8666213545367,WorldBank_electricity_API_real,2026-04-26
United States,USA,2018,electricity_from_renewables_pct,10.0478956277699,WorldBank_electricity_API_real,2026-04-26
United States,USA,2017,electricity_from_renewables_pct,9.700691811457,WorldBank_electricity_API_real,2026-04-26
United States,USA,2016,electricity_from_renewables_pct,8.50075843849591,WorldBank_electricity_API_real,2026-04-26
United States,USA,2015,electricity_from_renewables_pct,7.35254388360494,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2021,electricity_from_renewables_pct,10.1722062845034,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2020,electricity_from_renewables_pct,5.37810936985936,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2019,electricity_from_renewables_pct,2.94445992972498,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2018,electricity_from_renewables_pct,1.30389576930863,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2017,electricity_from_renewables_pct,1.32019593836106,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2016,electricity_from_renewables_pct,0.597059752522706,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2015,electricity_from_renewables_pct,0.733762784722565,WorldBank_electricity_API_real,2026-04-26
