year_month,year,month,iip_div26_index,iip_div26_growth_pct,data_source,retrieval_date,notes
2022-05,2022,May,122.5,28.7,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2022-06,2022,June,180.6,43.8,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2022-07,2022,July,142.2,2.7,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2022-08,2022,August,144.1,3.3,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2022-09,2022,September,163.8,0.2,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2022-10,2022,October,132.8,-12.5,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2022-11,2022,November,127.0,1.1,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2022-12,2022,December,117.7,-37.5,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2023-01,2023,January,130.7,-29.7,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2023-02,2023,February,123.8,-11.4,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2023-03,2023,March,134.1,-28.1,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2023-04,2023,April,111.5,-12.0,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2023-05,2023,May,115.1,-6.0,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2023-06,2023,June,121.9,-32.5,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2023-07,2023,July,118.6,-16.6,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2023-08,2023,August,131.4,-8.8,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2023-09,2023,September,149.4,-8.8,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2023-10,2023,October,123.1,-7.3,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2023-11,2023,November,96.7,-23.9,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2023-12,2023,December,111.6,-5.2,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2024-01,2024,January,120.8,-7.6,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2024-02,2024,February,125.8,1.6,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2024-03,2024,March,134.7,0.4,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2024-04,2024,April,114.2,2.4,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2024-05,2024,May,136.5,18.6,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2024-06,2024,June,134.8,10.6,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2024-07,2024,July,130.9,10.4,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2024-08,2024,August,146.6,11.6,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2024-09,2024,September,146.7,-1.8,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2024-10,2024,October,124.2,0.9,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2024-11,2024,November,115.9,19.9,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
