reporter_code,reporter_name,year,hs_code,segment,flow,trade_value_usd,quantity,data_source,retrieval_date,reporter_iso3
156,China,2016,8486,Equipment,Import,283045.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,4378019.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,28586.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,107674590.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,1251251958.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,4100.0,12.865,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,51236.0,160.775,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,1249090857.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,132993.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,35707.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,4494618605.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,22844940.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,5219972.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,29837919.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,246295.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,62050.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,40950000.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,3155681.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,41373277.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,55612612.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,157650.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,53535.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,18850.0,59.15,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,62851719.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,30473267.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,14797339.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,670167558.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,110066618.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,506532273.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,16431.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,89569945.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,19667207026.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,697117162.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,1246.0,3.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,3889451461.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,1017268.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,2006.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,2135116456.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,93860.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,196230.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,43245961.0,0.0,Comtrade_API_real,2026-04-26,CHN
