country_iso3,country_name,year,indicator_code,indicator,electricity_kwh_per_capita,proxy_for,period_granularity,synopsis_aligned,source_priority,data_source,retrieval_date
MYS,Malaysia,2023,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,5083.71249369916,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
USA,United States,2015,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,12828.8160828838,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
USA,United States,2016,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,12806.1977101885,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
USA,United States,2017,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,12604.1625559233,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
USA,United States,2018,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,13054.4045353944,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
USA,United States,2019,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,12678.2540503665,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
USA,United States,2020,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,12393.4382563461,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
USA,United States,2021,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,12556.0915792291,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
USA,United States,2022,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,12968.1628097364,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
USA,United States,2023,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,12551.2256333524,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
USA,United States,2024,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,12835.2954006884,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
VNM,Viet Nam,2015,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,1615.48958410788,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
VNM,Viet Nam,2016,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,1788.72117786832,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
VNM,Viet Nam,2017,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,1918.19498532718,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
VNM,Viet Nam,2018,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,2115.35402394159,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
VNM,Viet Nam,2019,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,2290.2681069016,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
VNM,Viet Nam,2020,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,2303.70986644863,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
VNM,Viet Nam,2021,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,2403.54540306818,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
VNM,Viet Nam,2022,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,2624.40089303185,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
VNM,Viet Nam,2023,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,2585.49409663119,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
