country_iso3,country_name,year,indicator_code,indicator,lending_rate_pct,source_tier,period_granularity,synopsis_aligned,source_priority,notes,data_source,retrieval_date
MYS,Malaysia,2019,FR.INR.LEND,lending_rate_pct,4.87689294871795,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
MYS,Malaysia,2020,FR.INR.LEND,lending_rate_pct,3.94420769234615,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
MYS,Malaysia,2021,FR.INR.LEND,lending_rate_pct,3.44410640384615,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
MYS,Malaysia,2022,FR.INR.LEND,lending_rate_pct,3.90802666666667,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
MYS,Malaysia,2023,FR.INR.LEND,lending_rate_pct,5.31737500641025,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
MYS,Malaysia,2024,FR.INR.LEND,lending_rate_pct,5.282681,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
USA,United States,2015,FR.INR.LEND,lending_rate_pct,3.26,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
USA,United States,2016,FR.INR.LEND,lending_rate_pct,3.51166666666667,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
USA,United States,2017,FR.INR.LEND,lending_rate_pct,4.09666666666667,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
USA,United States,2018,FR.INR.LEND,lending_rate_pct,4.90416666666667,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
USA,United States,2019,FR.INR.LEND,lending_rate_pct,5.2825,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
