year_month,fy,year,month,hs_code,segment,flow,total_trade_usd_million,hhi_country_concentration,top1_country_share_pct,top3_country_share_pct,num_partner_countries,data_source,retrieval_date
2019-02,2018-19,2019,2,8541,Devices,Export,27.32,3616.3,57.28,80.05,47,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-02,2018-19,2019,2,8542,ICs,Export,23.71,2437.7,41.5,77.06,33,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-03,2018-19,2019,3,3818,Raw_Materials,Export,0.02,10000.0,100.0,100.0,1,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-03,2018-19,2019,3,8486,Equipment,Export,13.49,3779.8,49.3,95.63,15,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-03,2018-19,2019,3,8541,Devices,Export,23.6,3406.0,55.34,78.39,50,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-03,2018-19,2019,3,8542,ICs,Export,24.98,2225.6,34.87,76.1,36,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-04,2019-20,2019,4,3818,Raw_Materials,Export,0.02,10000.0,100.0,100.0,1,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-04,2019-20,2019,4,8486,Equipment,Export,3.15,8210.3,90.48,96.83,8,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-04,2019-20,2019,4,8541,Devices,Export,9.34,1433.2,33.3,51.61,47,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-04,2019-20,2019,4,8542,ICs,Export,16.3,1835.1,33.13,64.66,38,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-05,2019-20,2019,5,8486,Equipment,Export,5.08,6638.7,81.1,90.94,19,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-05,2019-20,2019,5,8541,Devices,Export,18.91,2736.8,48.86,72.61,54,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-05,2019-20,2019,5,8542,ICs,Export,18.59,2682.0,38.03,78.32,37,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-06,2019-20,2019,6,3818,Raw_Materials,Export,0.01,10000.0,100.0,100.0,1,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-06,2019-20,2019,6,8486,Equipment,Export,0.71,1573.1,26.76,60.56,13,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-06,2019-20,2019,6,8541,Devices,Export,19.1,4350.3,65.13,77.33,50,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-06,2019-20,2019,6,8542,ICs,Export,14.66,2421.7,42.56,70.74,36,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-07,2019-20,2019,7,3818,Raw_Materials,Export,0.01,10000.0,100.0,100.0,1,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-07,2019-20,2019,7,8486,Equipment,Export,0.55,2000.0,38.18,63.64,13,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-07,2019-20,2019,7,8541,Devices,Export,24.48,4573.4,66.67,80.56,48,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-07,2019-20,2019,7,8542,ICs,Export,18.0,1714.1,30.11,64.28,36,DGFT_TRADESTAT_MEIDB_real,2026-05-09
